Date,Open,High,Low,Close,Volume
2010-12-27,125.13,125.77,125.04,125.65,58125974
2010-12-28,125.9,125.95,125.5,125.83,55309010
2010-12-29,125.98,126.2,125.9,125.92,58033036
2010-12-30,125.8,126.13,125.53,125.72,76616846
2010-12-31,125.53,125.87,125.33,125.75,91270271
2011-01-03,126.71,127.6,125.7,127.05,138725191
2011-01-04,127.33,127.37,126.19,126.98,137409675
2011-01-05,126.58,127.72,126.46,127.64,133975250
2011-01-06,127.69,127.83,127.01,127.39,122518970
2011-01-07,127.56,127.77,126.15,127.14,156034587
2011-01-10,126.58,127.16,126.2,126.98,122401644
2011-01-11,127.44,127.74,126.95,127.43,110286968
2011-01-12,128.21,128.72,127.46,128.58,107929135
2011-01-13,128.63,128.69,128.05,128.37,129229132
2011-01-14,,,,129.3,0
2011-01-18,129.18,129.64,129.03,129.52,114401252
2011-01-19,129.41,129.54,127.91,128.25,151958324
2011-01-20,127.96,128.4,127.13,128.08,175745603
2011-01-21,128.88,129.17,128.23,128.37,151462880
2011-01-24,128.28,129.25,128.26,129.1,113715455
2011-01-25,128.76,129.28,128.11,129.17,167552153
2011-01-26,129.49,130.05,129.23,129.67,141281439
2011-01-27,129.7,130.21,129.47,129.99,123302633
2011-01-28,130.14,130.35,127.51,127.72,295637223
2011-01-31,128.07,128.78,127.75,128.68,149249105
2011-02-01,129.46,130.97,129.38,130.74,167194214
2011-02-02,130.46,130.84,130.33,130.48,23406221
2011-02-03,130.27,130.98,129.58,130.76,31138289
2011-02-04,130.85,131.2,130.23,131.17,27291113
2011-02-07,131.44,132.4,131.44,132.0,21707662
2011-02-08,132.13,132.64,131.73,132.59,22787018
2011-02-09,132.2,132.63,131.62,132.32,32233046
2011-02-10,131.61,132.46,131.3,132.33,36606250
2011-02-11,131.8,133.28,131.77,133.15,27395996
2011-02-14,133.07,133.54,132.89,133.43,20967255
2011-02-15,133.05,133.22,132.66,133.04,21560577
2011-02-16,133.47,134.01,133.19,133.82,26386036
2011-02-17,133.43,134.43,133.34,134.22,23248504
2011-02-18,,,,134.57,0
2011-02-22,133.11,133.86,131.48,131.8,48257050
2011-02-23,131.72,132.07,130.21,131.01,52179204
2011-02-24,130.86,131.44,129.7,130.92,50875335
2011-02-25,131.47,132.41,131.41,132.32,28752739
2011-02-28,132.84,133.32,132.38,133.15,30339531
2011-03-01,133.68,133.68,130.89,130.89,48377722
2011-03-02,130.79,131.81,130.6,131.16,46020707
2011-03-03,132.39,133.62,132.39,133.47,33784072
2011-03-04,133.37,133.47,131.6,132.47,53924527
2011-03-07,132.8,133.15,130.74,131.37,38124392
2011-03-08,131.67,132.99,131.07,132.56,36563947
2011-03-09,132.34,132.79,131.6,132.39,31785760
2011-03-10,131.04,131.04,129.81,129.93,63399641
2011-03-11,129.49,131.31,129.49,130.84,50585246
2011-03-14,130.03,130.48,129.07,130.05,52323424
2011-03-15,126.7,129.32,126.51,128.56,70860435
2011-03-16,128.18,128.57,125.28,126.21,89625830
2011-03-17,128.01,128.39,127.1,127.85,44314644
2011-03-18,128.84,128.87,127.51,127.76,45916019
2011-03-21,129.41,130.01,129.2,129.74,33507325
2011-03-22,129.76,129.89,129.18,129.3,25004548
2011-03-23,128.96,130.0,128.33,129.64,31166222
2011-03-24,130.46,131.08,129.68,130.9,33519480
2011-03-25,131.22,131.86,130.95,131.29,23528386
2011-03-28,131.57,131.92,130.94,130.94,22090103
2011-03-29,130.89,131.9,130.45,131.86,24306331
2011-03-30,132.58,133.15,132.37,132.7,24243176
2011-03-31,132.63,132.96,132.46,132.51,27226688
2011-04-01,133.45,133.76,132.83,133.15,30779148
2011-04-04,133.48,133.66,132.88,133.24,20976108
2011-04-05,132.95,133.83,132.94,133.24,22176452
2011-04-06,133.85,134.0,133.12,133.66,23931173
2011-04-07,133.39,133.93,132.67,133.32,34344617
2011-04-08,133.88,133.99,132.32,132.86,29003065
2011-04-11,133.01,133.44,132.14,132.47,24849999
2011-04-12,131.71,131.98,130.99,131.45,30741486
2011-04-13,132.09,132.18,130.97,131.45,28355303
2011-04-14,130.69,131.76,130.27,131.56,34872821
2011-04-15,131.78,132.37,131.41,132.12,33790732
2011-04-18,130.53,130.8,129.51,130.53,42399577
2011-04-19,130.75,131.35,130.44,131.28,25527881
2011-04-20,132.88,133.39,132.8,133.16,29889358
2011-04-21,,,,133.74,0
2011-04-25,133.66,133.85,133.2,133.62,13979197
2011-04-26,134.05,135.06,133.91,134.79,24832710
2011-04-27,135.05,135.87,134.5,135.63,27488924
2011-04-28,135.42,136.29,135.41,136.04,25481373
2011-04-29,136.14,136.57,135.98,136.54,20677005
2011-05-02,137.1,137.17,135.95,136.25,22871971
2011-05-03,135.94,136.18,135.04,135.71,26996370
2011-05-04,135.7,135.73,134.23,134.86,33406376
2011-05-05,134.09,134.94,133.02,133.63,40893236
2011-05-06,134.88,135.62,133.68,134.2,46857613
2011-05-09,134.2,135.11,133.98,134.72,24822446
2011-05-10,135.15,136.11,135.01,135.87,24203196
2011-05-11,135.64,135.68,133.82,134.45,33239071
2011-05-12,134.07,135.36,133.4,135.1,35584467
2011-05-13,135.17,135.34,133.57,134.04,35020855
2011-05-16,133.54,134.61,132.97,133.19,32100444
2011-05-17,132.7,133.35,132.12,133.17,38035702
2011-05-18,133.26,134.5,132.95,134.38,25317362
2011-05-19,134.79,135.02,133.94,134.66,22525820
2011-05-20,134.31,134.52,133.36,133.67,36056988
2011-05-23,131.99,132.46,131.59,132.04,36661220
2011-05-24,132.42,132.73,131.7,131.95,30909405
2011-05-25,131.38,132.94,131.38,132.37,28638927
2011-05-26,132.0,133.23,131.78,133.01,33733520
2011-05-27,,,,133.54,0
2011-05-31,134.78,134.92,133.84,134.89,35984098
2011-06-01,134.52,134.6,131.76,131.85,45487819
2011-06-02,131.98,132.23,130.96,131.69,47042049
2011-06-03,130.16,131.42,130.08,130.4,47653494
2011-06-06,130.09,130.36,128.87,129.05,36406785
2011-06-07,129.67,130.07,128.85,128.85,35800162
2011-06-08,128.77,129.18,128.18,128.4,46172785
2011-06-09,128.77,129.93,128.46,129.4,34130585
2011-06-10,128.83,128.93,127.26,127.56,48646625
2011-06-13,127.89,128.24,127.05,127.67,42209420
2011-06-14,128.88,129.77,128.82,129.32,32356616
2011-06-15,128.26,128.65,126.68,127.02,58675501
2011-06-16,127.09,127.97,126.33,127.28,66773546
2011-06-17,127.91,127.94,126.62,127.02,53421634
2011-06-20,126.6,127.97,126.59,127.7,34301988
2011-06-21,128.34,129.7,128.19,129.42,40944155
2011-06-22,129.05,129.81,128.59,128.7,38969944
2011-06-23,127.09,128.37,126.19,128.29,71105811
2011-06-24,128.28,128.37,126.62,126.81,46734124
2011-06-27,126.91,128.43,126.65,127.94,32680965
2011-06-28,128.43,129.63,128.27,129.61,40274343
2011-06-29,130.16,130.93,129.72,130.75,53004191
2011-06-30,131.15,132.18,130.99,131.97,37863568
2011-07-01,,,,133.96,0
2011-07-05,133.8,134.07,133.39,133.71,37800283
2011-07-06,133.48,134.14,133.11,133.94,28284288
2011-07-07,135.13,135.7,134.88,135.46,34373652
2011-07-08,133.84,134.44,133.39,134.4,43893555
2011-07-11,132.73,133.17,131.66,131.96,43906760
2011-07-12,131.69,132.78,131.36,131.43,46226099
2011-07-13,132.11,133.22,131.52,131.85,45341611
2011-07-14,132.17,132.77,130.68,130.94,45959101
2011-07-15,131.64,131.87,130.78,131.74,47432371
2011-07-18,131.06,131.28,129.63,130.58,44982924
2011-07-19,131.35,132.89,131.31,132.78,37213390
2011-07-20,133.08,133.15,132.42,132.65,23708080
2011-07-21,133.39,134.81,133.14,134.52,45988109
2011-07-22,134.5,134.72,133.76,134.61,22949044
